filename,type,breed,color_primary,color_secondary,pattern,eye_color
cat_0001.jpg,cat,Domestic Shorthair,orange,white,tabby,unknown
cat_0002.jpg,cat,Domestic Shorthair,grey,black,tabby,green
cat_0004.jpg,cat,Domestic Shorthair,brown,white,"tabby,bicolor",green
cat_0003.jpg,cat,Domestic Longhair,grey,"orange,white","tortoiseshell,bicolor",yellow
cat_0005.jpg,cat,Domestic Shorthair,white,black,bicolor,unknown
cat_0007.jpg,cat,Domestic Shorthair,black,white,bicolor,green
cat_0006.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",green
cat_0008.jpg,cat,Domestic Shorthair,grey,"white,orange","tabby,bicolor",green
cat_0009.jpg,cat,Domestic Shorthair,black,,solid,yellow
cat_0011.jpg,cat,Siamese,brown,cream,solid,yellow
cat_0010.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",green
cat_0012.jpg,cat,Domestic Shorthair,grey,"orange,white","tabby,bicolor",green
cat_0014.jpg,cat,British Shorthair,grey,,solid,unknown
cat_0013.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",amber
cat_0015.jpg,cat,Domestic Longhair,orange,white,"tabby,bicolor",green
cat_0016.jpg,cat,Domestic Shorthair,orange,white,tabby,green
cat_0017.jpg,cat,Domestic Shorthair,black,,solid,unknown
cat_0020.jpg,cat,Persian,grey,white,tabby,unknown
cat_0018.jpg,cat,Domestic Shorthair,orange,"white,black",tricolor,green
cat_0019.jpg,cat,Domestic Longhair,black,"white,orange",tricolor,yellow
cat_0021.jpg,cat,Domestic Shorthair,black,,solid,yellow
cat_0024.jpg,cat,Domestic Shorthair,grey,brown,tabby,green
cat_0022.jpg,cat,Domestic Shorthair,white,"black,orange",calico,green
cat_0023.jpg,cat,Domestic Shorthair,grey,black,tabby,blue
cat_0025.jpg,cat,Domestic Shorthair,black,"white,orange",tricolor,yellow
cat_0026.jpg,cat,Domestic Shorthair,grey,white,tabby,unknown
cat_0027.jpg,cat,Domestic Shorthair,black,white,bicolor,amber
cat_0028.jpg,cat,Domestic Shorthair,orange,white,tabby,yellow
cat_0031.jpg,cat,Domestic Shorthair,white,,solid,green
cat_0029.jpg,cat,Domestic Shorthair,grey,white,tabby,green
cat_0032.jpg,cat,Domestic Shorthair,black,"white,orange",tricolor,unknown
cat_0030.jpg,cat,Domestic Shorthair,white,black,bicolor,unknown
cat_0035.jpg,cat,Domestic Shorthair,black,,solid,yellow
cat_0033.jpg,cat,Domestic Shorthair,white,"black,orange",calico,unknown
cat_0036.jpg,cat,Domestic Shorthair,brown,grey,tabby,unknown
cat_0034.jpg,cat,Domestic Shorthair,grey,white,tabby,unknown
cat_0040.jpg,cat,Domestic Shorthair,grey,brown,tabby,yellow
cat_0038.jpg,cat,Domestic Shorthair,black,"white,orange",calico,yellow
cat_0039.jpg,cat,Domestic Longhair,black,orange,tortoiseshell,blue
cat_0041.jpg,cat,Domestic Shorthair,grey,brown,tabby,unknown
cat_0043.jpg,cat,Domestic Shorthair,grey,white,tabby,yellow
cat_0042.jpg,cat,Domestic Shorthair,white,orange,"tabby,bicolor",unknown
cat_0044.jpg,cat,Domestic Longhair,brown,"white,orange","tabby,bicolor",green
cat_0045.jpg,cat,Domestic Longhair,black,,solid,blue
cat_0047.jpg,cat,Domestic Shorthair,black,,solid,green
cat_0046.jpg,cat,Domestic Shorthair,black,white,bicolor,unknown
cat_0048.jpg,cat,Domestic Longhair,orange,white,tabby,amber
cat_0049.jpg,cat,Domestic Shorthair,black,white,bicolor,green
cat_0050.jpg,cat,Domestic Shorthair,white,black,bicolor,green
cat_0054.jpg,cat,Domestic Longhair,white,cream,bicolor,amber
cat_0051.jpg,cat,Russian Blue,grey,,solid,green
cat_0052.jpg,cat,Domestic Shorthair,orange,white,tabby,unknown
cat_0053.jpg,cat,Domestic Shorthair,white,grey,"tabby,bicolor",green
cat_0055.jpg,cat,Domestic Shorthair,grey,white,bicolor,yellow
cat_0056.jpg,cat,Domestic Longhair,white,brown,"tabby,bicolor",hazel
cat_0058.jpg,cat,Domestic Shorthair,grey,black,tabby,yellow
cat_0057.jpg,cat,Domestic Shorthair,white,"black,orange",tricolor,yellow
cat_0060.jpg,cat,Domestic Longhair,black,brown,tabby,yellow
cat_0062.jpg,cat,Domestic Shorthair,grey,white,bicolor,unknown
cat_0059.jpg,cat,Domestic Shorthair,grey,brown,tabby,unknown
cat_0061.jpg,cat,Domestic Shorthair,black,"orange,white",tortoiseshell,green
cat_0063.jpg,cat,Domestic Longhair,white,,solid,yellow
cat_0065.jpg,cat,British Shorthair,grey,white,bicolor,green
cat_0066.jpg,cat,Domestic Longhair,grey,orange,tabby,green
cat_0064.jpg,cat,Domestic Shorthair,brown,black,tabby,yellow
cat_0068.jpg,cat,Domestic Longhair,grey,,solid,yellow
cat_0067.jpg,cat,Domestic Longhair,white,orange,bicolor,unknown
cat_0070.jpg,cat,Domestic Longhair,black,,solid,yellow
cat_0069.jpg,cat,Domestic Shorthair,black,,solid,blue
cat_0071.jpg,cat,Domestic Longhair,white,orange,bicolor,green
cat_0073.jpg,cat,Siamese,cream,black,bicolor,unknown
cat_0074.jpg,cat,Domestic Shorthair,black,,solid,green
cat_0072.jpg,cat,Domestic Shorthair,grey,white,tabby,green
cat_0077.jpg,cat,Domestic Shorthair,black,,solid,unknown
cat_0075.jpg,cat,Domestic Shorthair,grey,black,tabby,green
cat_0078.jpg,cat,Domestic Shorthair,cream,,solid,brown
cat_0076.jpg,cat,Domestic Shorthair,grey,white,tabby,green
cat_0080.jpg,cat,Domestic Shorthair,black,,solid,blue
cat_0082.jpg,cat,Domestic Shorthair,black,,solid,yellow
cat_0081.jpg,cat,Domestic Shorthair,black,white,bicolor,yellow
cat_0079.jpg,cat,Domestic Longhair,black,orange,tortoiseshell,green
cat_0083.jpg,cat,Domestic Shorthair,black,white,bicolor,yellow
cat_0085.jpg,cat,Domestic Shorthair,grey,white,tabby,green
cat_0086.jpg,cat,Domestic Longhair,black,white,bicolor,blue
cat_0084.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",yellow
cat_0087.jpg,cat,Domestic Longhair,black,,solid,green
cat_0089.jpg,cat,Domestic Shorthair,black,,solid,green
cat_0088.jpg,cat,Domestic Longhair,grey,,tabby,unknown
cat_0090.jpg,cat,Domestic Longhair,white,,solid,yellow
cat_0094.jpg,cat,Russian Blue,grey,,solid,green
cat_0091.jpg,cat,Domestic Longhair,white,"black,orange",tricolor,yellow
cat_0092.jpg,cat,Domestic Shorthair,white,grey,bicolor,yellow
cat_0093.jpg,cat,Domestic Shorthair,orange,white,tabby,unknown
cat_0095.jpg,cat,Domestic Shorthair,grey,black,tabby,unknown
cat_0096.jpg,cat,Domestic Shorthair,white,orange,bicolor,green
cat_0097.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",yellow
cat_0098.jpg,cat,Domestic Shorthair,black,white,tuxedo,blue
cat_0099.jpg,cat,Domestic Longhair,brown,black,tabby,yellow
cat_0100.jpg,cat,Domestic Shorthair,orange,white,"tabby,bicolor",unknown
cat_0104.jpg,cat,Domestic Shorthair,white,black,bicolor,yellow
cat_0102.jpg,cat,Domestic Shorthair,orange,white,tabby,green
cat_0103.jpg,cat,Domestic Shorthair,grey,white,bicolor,green
cat_0101.jpg,cat,Domestic Longhair,brown,white,"tabby,bicolor",green
cat_0105.jpg,cat,Domestic Shorthair,black,"orange,white",calico,unknown
cat_0106.jpg,cat,Domestic Shorthair,black,white,bicolor,green
cat_0108.jpg,cat,Domestic Longhair,brown,grey,tabby,yellow
cat_0107.jpg,cat,Domestic Longhair,brown,white,"tabby,bicolor",green
cat_0110.jpg,cat,Domestic Longhair,black,,solid,yellow
cat_0112.jpg,cat,Domestic Shorthair,orange,,tabby,green
cat_0109.jpg,cat,Persian,black,orange,tortoiseshell,yellow
cat_0111.jpg,cat,Domestic Shorthair,black,white,bicolor,yellow
cat_0113.jpg,cat,Domestic Shorthair,grey,,tabby,unknown
cat_0115.jpg,cat,Domestic Longhair,grey,,solid,yellow
cat_0116.jpg,cat,Domestic Longhair,black,,solid,green
cat_0114.jpg,cat,Domestic Longhair,black,orange,tortoiseshell,unknown
cat_0117.jpg,cat,Domestic Shorthair,black,,solid,yellow
cat_0118.jpg,cat,Domestic Shorthair,grey,brown,tabby,green
cat_0119.jpg,cat,Domestic Shorthair,black,white,bicolor,yellow
cat_0120.jpg,cat,Domestic Longhair,black,white,bicolor,yellow
cat_0122.jpg,cat,Domestic Longhair,grey,white,bicolor,green
cat_0121.jpg,cat,Domestic Shorthair,white,grey,"tabby,bicolor",green
cat_0123.jpg,cat,Domestic Shorthair,black,,solid,yellow
cat_0124.jpg,cat,Domestic Shorthair,black,white,bicolor,unknown
cat_0127.jpg,cat,Ragdoll,brown,white,bicolor,unknown
cat_0125.jpg,cat,Domestic Shorthair,white,grey,bicolor,unknown
cat_0128.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",green
cat_0126.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",green
cat_0129.jpg,cat,Domestic Shorthair,orange,white,tabby,unknown
cat_0131.jpg,cat,Ragdoll,cream,grey,bicolor,blue
cat_0130.jpg,cat,Domestic Shorthair,white,black,bicolor,green
cat_0132.jpg,cat,Domestic Shorthair,orange,white,"tabby,bicolor",green
cat_0133.jpg,cat,Domestic Shorthair,orange,,tabby,blue
cat_0134.jpg,cat,Domestic Shorthair,black,white,tuxedo,amber
cat_0135.jpg,cat,Domestic Shorthair,black,white,tuxedo,yellow
cat_0136.jpg,cat,Domestic Longhair,brown,black,tabby,unknown
cat_0137.jpg,cat,Domestic Shorthair,brown,grey,tabby,unknown
cat_0138.jpg,cat,Domestic Longhair,white,orange,bicolor,unknown
cat_0140.jpg,cat,Domestic Shorthair,orange,white,"tabby,bicolor",green
cat_0139.jpg,cat,Domestic Shorthair,black,white,bicolor,green
cat_0144.jpg,cat,Domestic Shorthair,grey,,solid,yellow
cat_0141.jpg,cat,British Shorthair,cream,orange,tabby,brown
cat_0143.jpg,cat,Domestic Longhair,grey,white,"tabby,bicolor",green
cat_0142.jpg,cat,Domestic Shorthair,white,grey,"tabby,bicolor",yellow
cat_0146.jpg,cat,Domestic Shorthair,white,black,bicolor,unknown
cat_0145.jpg,cat,Domestic Shorthair,white,"black,orange",tricolor,yellow
cat_0147.jpg,cat,Domestic Shorthair,black,white,bicolor,green
cat_0148.jpg,cat,Domestic Shorthair,white,grey,"tabby,bicolor",unknown
cat_0149.jpg,cat,British Shorthair,grey,,solid,yellow
cat_0150.jpg,cat,Domestic Longhair,white,,solid,unknown
cat_0151.jpg,cat,Domestic Longhair,black,,solid,yellow
cat_0154.jpg,cat,Domestic Shorthair,grey,black,tabby,yellow
cat_0153.jpg,cat,Domestic Longhair,grey,white,tabby,green
cat_0152.jpg,cat,Domestic Shorthair,orange,,tabby,green
cat_0155.jpg,cat,Domestic Shorthair,grey,black,tabby,green
cat_0157.jpg,cat,Domestic Longhair,white,,solid,odd
cat_0156.jpg,cat,Domestic Longhair,grey,white,bicolor,yellow
cat_0158.jpg,cat,Domestic Shorthair,grey,black,tabby,green
cat_0161.jpg,cat,Domestic Longhair,cream,,solid,hazel
cat_0162.jpg,cat,Siamese,brown,cream,bicolor,amber
cat_0160.jpg,cat,Domestic Shorthair,black,white,bicolor,yellow
cat_0159.jpg,cat,Domestic Shorthair,black,orange,tortoiseshell,unknown
cat_0163.jpg,cat,Domestic Shorthair,orange,,tabby,unknown
cat_0166.jpg,cat,Domestic Longhair,orange,,tabby,unknown
cat_0164.jpg,cat,Domestic Shorthair,grey,,tabby,yellow
cat_0165.jpg,cat,Ragdoll,cream,brown,bicolor,blue
cat_0169.jpg,cat,Domestic Shorthair,orange,,tabby,unknown
cat_0170.jpg,cat,Domestic Shorthair,black,,solid,yellow
cat_0167.jpg,cat,Domestic Shorthair,orange,white,"tabby,bicolor",brown
cat_0168.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",blue
cat_0173.jpg,cat,Domestic Shorthair,black,white,bicolor,unknown
cat_0172.jpg,cat,Domestic Shorthair,grey,white,tabby,unknown
cat_0171.jpg,cat,Domestic Shorthair,brown,"white,orange","tabby,bicolor",yellow
cat_0174.jpg,cat,Domestic Shorthair,white,orange,bicolor,unknown
cat_0177.jpg,cat,Domestic Shorthair,black,,solid,yellow
cat_0175.jpg,cat,Domestic Shorthair,orange,white,"tabby,bicolor",amber
cat_0176.jpg,cat,Domestic Longhair,orange,"black,white",calico,unknown
cat_0178.jpg,cat,Domestic Longhair,brown,orange,tabby,green
cat_0179.jpg,cat,Domestic Shorthair,black,,solid,green
cat_0181.jpg,cat,Domestic Shorthair,white,,solid,hazel
