filename,type,breed,color_primary,color_secondary,pattern,eye_color
cat.0.jpg,cat,Domestic Shorthair,orange,white,tabby,unknown
cat.2.jpg,cat,Domestic Shorthair,grey,white,tabby,yellow
cat.1.jpg,cat,Domestic Shorthair,grey,black,tabby,green
cat.3.jpg,cat,Domestic Shorthair,white,grey,bicolor,yellow
cat.4.jpg,cat,Domestic Shorthair,grey,white,bicolor,green
cat.5.jpg,cat,Siamese,cream,black,bicolor,blue
cat.6.jpg,cat,Domestic Shorthair,black,,solid,unknown
cat.7.jpg,cat,Domestic Shorthair,brown,"white,orange","tabby,bicolor",green
cat.8.jpg,cat,Domestic Shorthair,grey,black,tabby,green
cat.9.jpg,cat,Domestic Shorthair,white,orange,"tabby,bicolor",green
cat.11.jpg,cat,Domestic Shorthair,white,grey,"tabby,bicolor",unknown
cat.10.jpg,cat,Domestic Longhair,grey,"white,orange","tortoiseshell,bicolor",yellow
cat.13.jpg,cat,Domestic Shorthair,white,,solid,green
cat.14.jpg,cat,Domestic Shorthair,orange,,tabby,green
cat.12.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",blue
cat.15.jpg,cat,Domestic Shorthair,orange,,tabby,unknown
cat.16.jpg,cat,Domestic Shorthair,grey,black,tabby,green
cat.18.jpg,cat,Domestic Shorthair,orange,,tabby,green
cat.17.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",green
cat.19.jpg,cat,Domestic Shorthair,grey,white,tabby,unknown
cat.20.jpg,cat,Ragdoll,cream,brown,bicolor,unknown
cat.22.jpg,cat,Domestic Longhair,grey,,tabby,green
cat.23.jpg,cat,Domestic Shorthair,black,,solid,unknown
cat.21.jpg,cat,Domestic Shorthair,grey,black,tabby,green
cat.25.jpg,cat,Domestic Longhair,white,black,bicolor,yellow
cat.26.jpg,cat,Domestic Shorthair,black,,solid,unknown
cat.27.jpg,cat,Domestic Shorthair,cream,orange,tabby,blue
cat.24.jpg,cat,Domestic Shorthair,orange,grey,tabby,unknown
cat.28.jpg,cat,British Shorthair,grey,,solid,blue
cat.29.jpg,cat,Ragdoll,cream,grey,bicolor,unknown
cat.30.jpg,cat,Domestic Shorthair,grey,brown,tabby,yellow
cat.31.jpg,cat,Domestic Shorthair,black,orange,tortoiseshell,yellow
cat.33.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",green
cat.32.jpg,cat,Domestic Shorthair,grey,"white,orange","tabby,bicolor",green
cat.35.jpg,cat,Domestic Shorthair,grey,black,tabby,yellow
cat.34.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",green
cat.39.jpg,cat,Domestic Shorthair,orange,white,tabby,green
cat.37.jpg,cat,Domestic Longhair,white,brown,"tabby,bicolor",green
cat.36.jpg,cat,Domestic Shorthair,black,orange,tortoiseshell,yellow
cat.38.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",yellow
cat.40.jpg,cat,Domestic Longhair,black,"white,orange",tricolor,yellow
cat.42.jpg,cat,Domestic Shorthair,orange,white,tabby,unknown
cat.41.jpg,cat,Domestic Shorthair,orange,white,tabby,green
cat.43.jpg,cat,Domestic Longhair,grey,black,tabby,green
cat.47.jpg,cat,Domestic Longhair,grey,,tabby,yellow
cat.44.jpg,cat,Domestic Shorthair,grey,white,tabby,unknown
cat.45.jpg,cat,Domestic Shorthair,white,orange,bicolor,unknown
cat.46.jpg,cat,Domestic Longhair,black,white,bicolor,blue
cat.49.jpg,cat,Domestic Longhair,white,brown,bicolor,unknown
cat.48.jpg,cat,Domestic Shorthair,orange,white,"tabby,bicolor",unknown
cat.53.jpg,cat,Domestic Longhair,grey,black,tabby,unknown
cat.52.jpg,cat,Domestic Longhair,white,grey,tabby,green
cat.50.jpg,cat,Domestic Shorthair,white,grey,"tabby,bicolor",green
cat.51.jpg,cat,Domestic Shorthair,grey,white,tabby,yellow
cat.55.jpg,cat,Domestic Longhair,black,,solid,yellow
cat.57.jpg,cat,Domestic Shorthair,white,,solid,yellow
cat.54.jpg,cat,Domestic Shorthair,brown,orange,tabby,green
cat.56.jpg,cat,Domestic Shorthair,cream,orange,solid,blue
cat.58.jpg,cat,Domestic Longhair,grey,brown,tabby,unknown
cat.61.jpg,cat,Domestic Longhair,black,white,bicolor,yellow
cat.60.jpg,cat,Domestic Longhair,black,"orange,white",tortoiseshell,yellow
cat.59.jpg,cat,Domestic Shorthair,black,"white,orange","tortoiseshell,bicolor",green
cat.62.jpg,cat,Domestic Shorthair,white,orange,bicolor,green
cat.63.jpg,cat,Domestic Shorthair,black,white,tuxedo,yellow
cat.64.jpg,cat,Domestic Shorthair,white,black,bicolor,blue
cat.65.jpg,cat,Domestic Longhair,cream,brown,bicolor,unknown
cat.69.jpg,cat,Siamese,cream,grey,tabby,blue
cat.68.jpg,cat,Domestic Shorthair,white,black,bicolor,unknown
cat.66.jpg,cat,Domestic Shorthair,grey,white,"tabby,bicolor",unknown
cat.67.jpg,cat,Domestic Shorthair,grey,white,bicolor,yellow
cat.71.jpg,cat,Domestic Shorthair,black,,solid,unknown
cat.72.jpg,cat,Domestic Longhair,white,orange,bicolor,unknown
cat.70.jpg,cat,Domestic Shorthair,black,orange,tortoiseshell,unknown
cat.73.jpg,cat,Domestic Longhair,white,"black,brown","tabby,bicolor",green
cat.74.jpg,cat,Domestic Shorthair,black,,solid,green
cat.76.jpg,cat,Domestic Shorthair,brown,black,tabby,green
cat.75.jpg,cat,Domestic Shorthair,white,black,bicolor,green
