image,rank,similar_image,similarity
data_cat\1\Snipaste_2026-06-03_17-52-12.png,1,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9758
data_cat\1\Snipaste_2026-06-03_17-52-12.png,2,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9554
data_cat\1\Snipaste_2026-06-03_17-52-12.png,3,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9492
data_cat\1\Snipaste_2026-06-03_17-52-12.png,4,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9487
data_cat\1\Snipaste_2026-06-03_17-52-12.png,5,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9485
data_cat\1\Snipaste_2026-06-03_17-52-12.png,6,data_cat\2\2-3.png,0.9455
data_cat\1\Snipaste_2026-06-03_17-52-12.png,7,data_cat\5\5-9.png,0.9449
data_cat\1\Snipaste_2026-06-03_17-52-12.png,8,data_cat\5\5-6.png,0.9419
data_cat\1\Snipaste_2026-06-03_17-52-12.png,9,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9379
data_cat\1\Snipaste_2026-06-03_17-52-12.png,10,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9373
data_cat\1\Snipaste_2026-06-03_17-52-23.png,1,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9595
data_cat\1\Snipaste_2026-06-03_17-52-23.png,2,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9406
data_cat\1\Snipaste_2026-06-03_17-52-23.png,3,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9397
data_cat\1\Snipaste_2026-06-03_17-52-23.png,4,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.9322
data_cat\1\Snipaste_2026-06-03_17-52-23.png,5,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9320
data_cat\1\Snipaste_2026-06-03_17-52-23.png,6,data_cat\1\Snipaste_2026-06-03_17-57-55.png,0.9315
data_cat\1\Snipaste_2026-06-03_17-52-23.png,7,data_cat\1\Snipaste_2026-06-03_17-58-27.png,0.9267
data_cat\1\Snipaste_2026-06-03_17-52-23.png,8,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9217
data_cat\1\Snipaste_2026-06-03_17-52-23.png,9,data_cat\3\3-2.png,0.9209
data_cat\1\Snipaste_2026-06-03_17-52-23.png,10,data_cat\3\3-5.png,0.9197
data_cat\1\Snipaste_2026-06-03_17-52-48.png,1,data_cat\2\2-10.png,0.9400
data_cat\1\Snipaste_2026-06-03_17-52-48.png,2,data_cat\2\2-2.png,0.9382
